@relation 2D_dataset

@attribute x numeric
@attribute y numeric
@attribute class {0,1}

@data
9.16,5.69,1
7.0,4.81,1
4.68,3.94,1
4.99,7.18,1
3.67,9.25,1
6.7,11.26,1
5.24,8.21,1
12.64,8.39,1
4.5,4.53,1
10.84,7.89,1
7.96,4.22,1
7.19,10.43,1
9.19,12.63,1
5.32,5.12,1
5.16,12.38,1
8.01,6.9,1
3.76,6.06,1
7.76,7.28,1
6.62,8.79,1
7.61,8.62,1
7.32,10.91,1
4.58,9.25,1
3.97,12.77,1
7.02,4.53,1
6.95,9.71,1
4.33,6.6,1
7.14,7.54,1
11.9,4.01,1
7.1,5.42,1
6.84,10.77,1
8.33,5.97,1
10.33,3.32,1
10.04,9.91,1
10.52,12.97,1
11.29,5.64,1
5.83,10.99,1
6.53,12.53,1
12.5,3.02,1
6.21,10.44,1
11.39,9.89,1
8.21,6.91,1
8.84,12.08,1
3.14,7.76,1
3.27,5.9,1
5.92,6.63,1
4.49,10.44,1
9.38,3.48,1
5.26,5.75,1
10.47,3.05,1
5.37,4.19,1
8.41,8.98,1
7.14,9.1,1
4.98,10.85,1
7.09,7.03,1
11.07,7.22,1
3.1,12.34,1
10.49,9.38,1
7.73,6.11,1
11.51,7.2,1
8.7,4.21,1
8.73,10.76,1
4.26,3.09,1
3.53,8.78,1
7.37,5.74,1
8.84,7.55,1
4.93,4.18,1
5.01,12.25,1
9.86,9.58,1
7.15,5.86,1
12.29,5.63,1
10.75,9.52,1
12.66,6.19,1
11.38,12.12,1
4.14,3.2,1
6.74,6.51,1
3.8,7.05,1
3.71,3.9,1
11.97,7.15,1
11.09,8.36,1
7.16,7.27,1
9.02,8.26,1
9.41,6.35,1
9.39,12.22,1
8.58,12.85,1
7.6,3.08,1
5.07,7.9,1
5.11,4.24,1
9.85,9.85,1
3.78,9.66,1
7.28,11.07,1
7.6,10.33,1
9.07,5.81,1
4.77,7.12,1
10.29,6.67,1
3.28,12.62,1
8.3,5.72,1
6.07,11.95,1
4.25,5.95,1
7.68,5.93,1
11.99,7.72,1
12.8,8.16,1
3.62,4.98,1
8.83,11.21,1
12.19,5.99,1
8.34,6.38,1
11.3,3.58,1
4.79,5.4,1
9.04,10.96,1
4.53,12.47,1
8.14,9.85,1
10.62,9.62,1
7.42,9.22,1
9.95,8.85,1
10.16,4.35,1
12.75,10.01,1
3.34,8.37,1
5.44,4.13,1
8.12,9.94,1
11.02,8.27,1
5.97,4.2,1
8.38,9.35,1
6.63,6.28,1
11.26,11.22,1
3.89,10.3,1
9.92,11.4,1
12.7,10.22,1
3.83,11.32,1
6.37,12.6,1
11.7,6.71,1
5.74,5.77,1
5.79,12.58,1
3.31,3.95,1
11.21,11.09,1
3.87,10.12,1
7.3,8.73,1
9.81,6.18,1
7.34,3.67,1
3.81,4.35,1
4.91,3.16,1
3.66,9.82,1
10.23,5.7,1
3.88,10.16,1
7.13,12.4,1
7.0,3.84,1
12.13,7.39,1
12.53,6.46,1
10.23,7.67,1
5.44,10.57,1
8.14,8.42,1
7.09,12.01,1
4.5,11.41,1
10.63,3.37,1
8.68,10.24,1
9.82,3.07,1
3.84,8.1,1
4.83,6.92,1
7.67,10.98,1
11.23,7.09,1
4.18,11.43,1
8.47,12.9,1
12.98,5.94,1
12.67,6.47,1
8.29,12.06,1
3.99,5.89,1
8.36,9.43,1
3.05,8.58,1
7.68,3.11,1
12.22,7.14,1
8.35,6.12,1
6.91,10.82,1
4.12,12.59,1
9.55,6.24,1
10.41,12.6,1
3.44,12.0,1
6.4,4.71,1
6.95,3.23,1
10.64,12.15,1
8.88,3.87,1
9.94,4.69,1
4.35,6.12,1
12.47,8.62,1
6.86,9.14,1
9.83,3.68,1
6.25,11.47,1
9.7,7.37,1
3.98,4.54,1
10.0,3.43,1
7.21,7.96,1
8.14,4.1,1
10.32,10.59,1
3.85,12.5,1
7.99,5.62,1
12.26,4.64,1
7.17,11.5,1
4.39,8.55,1
5.98,5.58,1
6.28,11.33,1
6.63,11.69,1
3.96,3.48,1
5.8,8.07,1
10.91,4.3,1
10.37,7.73,1
6.67,10.86,1
8.65,8.55,1
10.14,8.17,1
7.21,6.9,1
8.64,7.76,1
11.21,4.63,1
4.53,7.41,1
11.81,6.12,1
4.13,5.05,1
7.75,8.74,1
10.18,5.95,1
9.19,7.78,1
7.71,3.39,1
11.38,4.11,1
4.92,9.37,1
12.23,10.92,1
5.51,4.19,1
12.79,4.11,1
5.84,10.09,1
12.0,9.33,1
10.73,7.44,1
7.62,7.55,1
4.78,8.94,1
3.03,10.25,1
11.37,10.88,1
5.91,4.76,1
10.9,8.65,1
8.33,9.87,1
10.47,7.35,1
9.45,12.31,1
11.88,7.49,1
11.34,4.62,1
11.83,9.88,1
5.75,6.13,1
7.85,3.68,1
4.55,9.35,1
6.36,6.23,1
9.41,5.74,1
4.69,3.75,1
7.01,6.31,1
7.06,7.46,1
4.41,4.52,1
5.83,10.51,1
5.49,11.17,1
3.02,7.37,1
3.46,3.67,1
4.07,8.81,1
6.46,4.85,1
5.11,12.25,1
12.58,9.77,1
7.54,9.75,1
8.67,12.5,1
8.86,12.81,1
12.16,8.6,1
6.48,6.48,1
8.52,3.38,1
12.4,12.78,1
7.87,10.18,1
